method,task,a,b,p_point,p_envelope,complete_support,nominal_delta,lo,hi,complete_blocks,holm_point,holm_envelope
legacy_normal,eggplant (ms3),octo-small,octo-base,0.08678818855449343,0.08678818855449343,True,0.0546875,-0.007900490145208106,0.1172754901452081,"['A', 'C', 'D', 'E']",False,False
legacy_normal,eggplant (ms3),octo-small,octo-small@hist1,0.024872094571381165,0.024872094571381165,True,0.071875,0.009079227628145392,0.1346707723718546,"['A', 'C', 'D', 'E']",False,False
legacy_normal,eggplant (ms3),octo-small,octo-base@hist1,4.754752852254459e-05,0.020595451555046693,True,0.128125,0.06638356868943043,0.18986643131056954,"['A', 'C', 'D', 'E']",True,False
legacy_normal,eggplant (ms3),octo-small,openvla-7b-4bit,2.2538386102270846e-23,1.129244816755165e-15,True,0.328125,0.2635618311048956,0.3926881688951044,['A'],True,True
legacy_normal,eggplant (ms3),octo-base,octo-small@hist1,0.6037651485645346,1.0,True,0.017187499999999998,-0.047721768272249776,0.08209676827224976,"['A', 'C', 'D', 'E']",False,False
legacy_normal,eggplant (ms3),octo-base,octo-base@hist1,0.02426532013340431,1.0,True,0.0734375,0.009547685317698021,0.13732731468230197,"['A', 'C', 'D', 'E']",False,False
legacy_normal,eggplant (ms3),octo-base,openvla-7b-4bit,8.65141173318592e-16,2.689836925364733e-05,True,0.2734375,0.20681688113737695,0.34005811886262305,['A'],True,True
legacy_normal,eggplant (ms3),octo-small@hist1,octo-base@hist1,0.08540580828461952,1.0,True,0.056249999999999994,-0.007843376705397587,0.12034337670539758,"['A', 'C', 'D', 'E']",False,False
legacy_normal,eggplant (ms3),octo-small@hist1,openvla-7b-4bit,5.60784182662898e-14,6.766400421801788e-07,True,0.25625000000000003,0.18943413829785627,0.3230658617021438,['A'],True,True
legacy_normal,eggplant (ms3),octo-base@hist1,openvla-7b-4bit,2.5991452943094617e-09,0.010100129933700698,True,0.2,0.13417405764062318,0.26582594235937684,['A'],True,False
legacy_normal,spoon (ms3),octo-small,octo-base,4.06215042865871e-06,0.01842212545409902,True,0.3958333333333333,0.2274731869539455,0.5641934797127212,"['A', 'C']",True,False
legacy_normal,carrot (ms3),octo-small,octo-base,0.31731050786291415,0.4795001221869535,True,-0.041666666666666664,-0.12333333333333332,0.04,"['A', 'C']",False,False
